repo,pipeline,sample_date,commit,commit_date,tool,tool_version,status,reason,commit_validated,duration_sec,grey,white,red,yellow,light_green,dark_green,purple,exec_total,dot_red,dot_yellow,dot_green,art_total,tracked,verified,verified_trusted,translated,bp_nodes_total,bp_nodes_bound,bp_nodes_planned,bp_nodes_decl_missing,bp_def_total,bp_def_formalized,bp_thm_total,bp_thm_formalized,bp_thm_proved,bp_thm_proved_confirmed,bp_def_verified,bp_def_trusted,bp_def_in_progress,bp_def_failed,bp_def_unrealized,bp_thm_verified,bp_thm_trusted,bp_thm_in_progress,bp_thm_failed,bp_thm_unrealized,lean_def_total,lean_def_sorry,lean_def_verified,lean_def_trans_verified,lean_def_trusted,lean_def_failed,lean_thm_total,lean_thm_sorry,lean_thm_verified,lean_thm_trans_verified,lean_thm_trusted,lean_thm_failed
kvac-model-blueprint,leanblueprint,2026-05-18,0321c778a615ee0f0319b7d2ffcd242602ec24f5,2026-05-18T10:58:08+08:00,projection,git-file-add,ok,PROJECTION of HEAD 43-node blueprint over git file-add dates; verified==formalized via 0-sorry lean history; NOT a historical reading,True,0,,,,,,,,,,,,,,,,,43,4,39,0,26,4,17,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
kvac-model-blueprint,leanblueprint,2026-06-17,03a420a5b094c3758564c3abac81eca06a57258d,2026-06-17T19:15:28-03:00,projection,git-file-add,ok,PROJECTION of HEAD 43-node blueprint over git file-add dates; verified==formalized via 0-sorry lean history; NOT a historical reading,True,0,,,,,,,,,,,,,,,,,43,12,31,0,26,11,17,1,1,1,11,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
kvac-model-blueprint,leanblueprint,2026-07-15,9cd736f367532ad83be50cfb7926070e47a255b2,2026-07-15T18:32:03-03:00,projection,git-file-add,ok,PROJECTION of HEAD 43-node blueprint over git file-add dates; verified==formalized via 0-sorry lean history; NOT a historical reading,True,0,,,,,,,,,,,,,,,,,43,14,29,0,26,13,17,1,1,1,13,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,
KeyedVerificationAnonymousCredential-model,leanblueprint,2026-08-05,4995554296f03fdc70ca89d66d32a01999c98bf3,2026-08-05T08:20:11+00:00,probe-leanblueprint,0.3.0,ok,diag: status-based verified+trusted theorems (3) != blueprint proved-confirmed (1) -- machine status vs claim,True,282.4,,,,,,,,,,,,,,,,,43,19,24,0,26,16,17,3,1,1,16,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,
KeyedVerificationAnonymousCredential-model,leanblueprint,2026-08-12,1002a012af2a0b10451f4294a78f4998f2d123e6,2026-08-06T02:13:55+00:00,probe-leanblueprint,0.3.0,ok,diag: status-based verified+trusted theorems (3) != blueprint proved-confirmed (1) -- machine status vs claim,True,51.6,,,,,,,,,,,,,,,,,43,19,24,0,26,16,17,3,1,1,16,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,
